gap_min,count
1.0,944132
2.0,33776
3.0,14829
4.0,2158
5.0,898
6.0,2942
7.0,822
8.0,169
9.0,116
10.0,41
11.0,14
12.0,9
13.0,13
14.0,8
15.0,8
16.0,4
18.0,1
19.0,2
20.0,2
21.0,1
23.0,1
24.0,1
25.0,2
28.0,1
30.0,1
31.0,1
32.0,1
36.0,1
38.0,1
39.0,1
40.0,2
41.0,1
42.0,1
43.0,1
45.0,1
50.0,1
52.0,1
53.0,1
54.0,1
55.0,2
56.0,1
59.0,1
61.0,1
71.0,1
79.0,1
90.0,1
92.0,1
93.0,1
94.0,1
116.0,2
120.0,2
123.0,1
126.0,1
128.0,2
136.0,1
169.0,1
180.0,1
188.0,1
198.0,1
203.0,1
209.0,1
245.0,1
288.0,1
347.0,1
476.0,1
543.0,1
785.0,1
4924.0,1
,1
