group,feature
price_level,open
price_level,high
price_level,low
price_level,close
volume,volume
volume,volume_cmf
volume,volume_fi
volume,volume_mfi
volume,volume_sma_em
volume,volume_vpt
volatility,volatility_atr
volatility,volatility_ui
volatility,std_30
volatility,vol_std_30
trend,trend_macd_diff
trend,trend_adx
trend,trend_trix
trend,trend_mass_index
trend,trend_dpo
trend,trend_aroon_ind
momentum,momentum_rsi
momentum,momentum_wr
return,vol_change_5
return,ret_5
return,vol_change_10
return,ret_10
return,vol_change_20
return,ret_20
label,t_value
