,avg_abs_monthly_z
low,0.5865758447384871
open,0.5861752452629159
close,0.5861749392400311
high,0.5858351329990151
volatility_atr,0.25129451869628816
std_30,0.21444597398310797
vol_std_30,0.17741993849210577
volatility_ui,0.16834178008631626
trend_aroon_ind,0.16688288811566968
volume_cmf,0.09423521916335628
volume,0.09012392284012907
trend_adx,0.08732212866605134
momentum_wr,0.0631098194815252
volume_mfi,0.04819193994297907
momentum_rsi,0.03936169155449291
trend_trix,0.024068039713804733
ret_20,0.01380481134040982
trend_mass_index,0.013191678675755672
ret_10,0.0055036121154752775
trend_dpo,0.0040921226746835695
trend_macd_diff,0.0025991058655424047
volume_fi,0.000835232774108049
volume_sma_em,0.0005057878551417825
vol_change_5,1.7508896487719177e-09
vol_change_10,1.2714115108590093e-10
vol_change_20,7.370429842144219e-11
ret_5,0.0
volume_vpt,0.0
