feature,spearman_to_t_value,anova_f
momentum_wr,0.3234409939152654,53256.54467732858
momentum_rsi,0.31146496899772036,50750.61188842613
ret_10,0.3448915621939219,39147.40404031433
trend_aroon_ind,0.23643397869990626,26223.593061542164
ret_5,0.27900087394055156,25701.84321231377
volume_mfi,0.210446149018184,21716.854895219294
ret_20,0.24488463557456705,19626.466499271202
trend_macd_diff,0.33191063540660354,11102.589435513242
volume_cmf,0.11426281793284294,6093.284844644018
trend_dpo,-0.20221285314404508,4450.286792860447
trend_trix,0.08020765406595336,2272.757020797614
volume_fi,0.24080286492660363,2200.303299759489
volatility_ui,-0.10265980610590496,2164.1706557696752
volume_vpt,0.16726106321777187,609.1621469353056
volume,-0.011200343081688996,475.6919513026891
vol_std_30,-0.009019785833106307,155.5960863179137
volatility_atr,0.01574768721684074,107.990268230283
std_30,0.017385842291798563,96.99095965251831
trend_mass_index,0.002141701772755691,73.37634630163352
trend_adx,0.006532627562764998,58.60080150872206
volume_sma_em,0.1412898672458799,2.681264031471876
vol_change_20,-0.008731968665438732,1.2325108849785982
vol_change_10,-0.004448376767566226,0.9076450602226805
vol_change_5,-0.0015845916216958263,0.02252558993105205
