state,order_count,freight_ratio,arrival_diff,review_score,norm_demand,norm_satisfaction,opportunity_score
RJ,14054,0.3275864534772479,11.0522982780703,3.870997580759926,0.3020202237985382,0.21154306569754727,0.23812993975353614
SP,46427,0.2652633275888188,10.232235552587934,4.177224459904797,1.0,0.8282613654215506,0.1717386345784494
MG,12906,0.3311450692482127,12.380675654734231,4.122036262203626,0.2772687091697031,0.7171164145075707,0.07843476659478323
BA,3669,0.39471486271230033,10.061869719269556,3.8607249931861545,0.07811388283995602,0.19085483362610609,0.06320547072664706
RS,6162,0.355279457893338,13.16812723141837,4.092177864329763,0.13186434100170327,0.6569838081842033,0.045231604086703875
SC,4079,0.34689529451973966,10.663152733513115,4.045109095366511,0.0869537094931114,0.562190786597794,0.038069135155583037
PR,5648,0.34547056929979286,12.49929178470255,4.144475920679887,0.1207822168560402,0.7623082280430499,0.028708939145400805
CE,1424,0.43131752736192913,10.182584269662922,3.8672752808988764,0.02971044177572713,0.20404662891257336,0.02364812628788672
ES,2205,0.3532676094180761,9.820861678004535,4.017233560090703,0.046549233522347515,0.5060515189828825,0.02299292319087464
GO,2262,0.3513526576852283,11.323607427055704,4.038461538461538,0.04777818503266424,0.5488030983478218,0.021557369053302577
DF,2364,0.3430165479692945,11.16201353637902,4.0562605752961085,0.0499773614195468,0.5846490429102128,0.020758144898430968
PA,1041,0.4691450222798856,13.486071085494716,3.8424591738712777,0.021452750048511243,0.15406882365077837,0.01814755008446294
PE,1740,0.45232024066954357,12.564942528735632,4.022988505747127,0.03652357646450055,0.5176415541559697,0.01761745558008209
MA,799,0.5516399441997135,9.110137672090113,3.765957446808511,0.01623509626786831,0.0,0.01623509626786831
MT,1029,0.3949407214313861,13.666666666666666,4.0087463556851315,0.021194023414760354,0.488958916644935,0.010831016686531744
AL,428,0.466395686112247,7.841121495327103,3.8154205607476634,0.008236131174403312,0.09961505538897363,0.007415688511274274
MS,821,0.3414994163517457,10.199756394640682,4.0730816077953715,0.01670942842974494,0.6185253590308496,0.006374223211036666
PI,519,0.49700592092664597,10.510597302504816,3.9614643545279384,0.010198141480347556,0.3937364611810647,0.006182761343251684
PB,581,0.5181542943864225,12.21514629948365,4.039586919104991,0.01153489575472715,0.5510695317808065,0.005178366152029247
SE,373,0.46255022659836664,9.088471849865952,3.8981233243967828,0.007050300769711735,0.2661723083727383,0.005173705939115469
RN,520,0.5094820038045886,12.99423076923077,4.1134615384615385,0.01021970203316013,0.6998475546949031,0.0030674685555424834
RO,272,0.5951643799456904,19.029411764705884,4.073529411764706,0.00487268493564175,0.6194272031254914,0.001854411334245466
TO,309,0.5054193302757566,11.31715210355987,4.155339805825243,0.005670425389706992,0.7841872897176817,0.0012237498718063369
AM,163,0.5014921207727752,18.94478527607362,4.0920245398773005,0.0025225846790711713,0.6566750240699781,0.0008660663242235518
AC,91,0.5083114855281821,19.978021978021978,4.131868131868132,0.0009702248765658351,0.7369170732855794,0.00025524960009807733
RR,46,0.5682779071528998,17.32608695652174,3.891304347826087,0.0,0.2524393935865485,0.0
AP,80,0.38474371377933425,17.4125,4.2625,0.0007330587956275199,1.0,0.0
